,Fault,Diagnostic,Corrective Action,PLC,Model
872,sp unit down,"when parameter i/o allocation was being made, there was no return signal from the special function module at initial communication.",this suggests a hardware fault for the special function module that was accessed. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
873,sp unit down,"the intelligent function module was accessed in the program, but there was no response.",this suggests a cpu module hardware fault. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
874,sp unit down,"the special function module was accessed at the execution of a from/to instruction set, but there was no response.",this suggests a hardware fault for the special function module that was accessed. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
875,sp unit down,"there was no response from the intelligent function module when the end instruction is executed.
an error occurrence was detected at the intelligent function module.",this suggests a hardware fault for the special function module that was accessed. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
876,control-bus err,"when performing a parameter i/o allocation, the special function module could not be accessed during initial communications.","this suggests an error for the special function module, cpu module or base module. contact your nearest mitsubishi representative.",Mitsubishi,Logic Controller
877,control-bus err,"the from/to instruction set could not be executed, due to a system bus error with the special function module.","this suggests an error for the special function module, cpu module or base module. contact your nearest mitsubishi representative.",Mitsubishi,Logic Controller
878,control-bus err,the qcpu of function version a is mounted.,remove the qcpu of function version a from the base module.,Mitsubishi,Logic Controller
879,control-bus err,"an error was detected on the q bus. weight length timeout, arbitration timeout","this suggests an error for the special function module, cpu module or base module. contact your nearest mitsubishi representative.",Mitsubishi,Logic Controller
880,control-bus err,fault of the mounted module was detected. the qcpu of function version a is mounted.,remove the qcpu of function version a from the base module.,Mitsubishi,Logic Controller
881,control-bus err,an error was detected on the q bus.,"this suggests an error for the special function module, cpu module or base module. contact your nearest mitsubishi representative.",Mitsubishi,Logic Controller
882,control-bus err,fault of the main and extension base module was detected.,"this suggests an error for the intelligent function module, cpu module or base module. contact your nearest mitsubishi representative.",Mitsubishi,Logic Controller
883,control-bus err,a bus fault was detected at power-on or reset.,"this suggests an error for the intelligent function module, cpu module or base module. contact your nearest mitsubishi representative.",Mitsubishi,Logic Controller
884,sys unit down,hardware fault at the system management module as92r.,this suggests a hardware fault. contact your nearest mitsubishi representative.,Mitsubishi,Logic Controller
885,ac down,an instantaneous power supply interruption has occurred. the power supply went off.,check the power supply.,Mitsubishi,Logic Controller
886,dual dc down 5v,the power supply voltage (5vdc) of either of the two power supply modules on the power supply duplex extension base module dropped to 85% or less of the rated voltage.,"check the supply voltage of the power supply module. if the voltage is abnormal, replace the power supply module.",Mitsubishi,Logic Controller
887,dc down 5v,the power supply voltage (5vdc) of the power supply module on the extension base unit dropped to 85% or less of the rated voltage.,"check the supply voltage of the power supply module. if the voltage is abnormal, replace the power supply module.",Mitsubishi,Logic Controller
888,dc down 24v,the 24 vdc power supplied to the system management module as92r has dropped to 85% or less of the rated voltage.,check the power supply.,Mitsubishi,Logic Controller
889,battery error,"(1) voltage in the cpu module battery has dropped below stipulated level. 
(2) the lead connector of cpu module battery is not set.","(1) change the battery. 
(2) if the battery is used for built-in ram or for the back-up power function, set a lead connector.",Mitsubishi,Logic Controller
890,battery error,voltage of the battery on memory card 1 has dropped below stipulated level.,change the battery.,Mitsubishi,Logic Controller
891,battery error,voltage of the battery on memory card 2 has dropped below stipulated level.,change the battery.,Mitsubishi,Logic Controller
892,unit verify error,"at a multiple cpu system configuration, the qcpu of function version a is mounted.",replace the qcpu of function version a with that of function version b.,Mitsubishi,Logic Controller
893,unit verify error,"i/o module information at power on is changed. i/o module (including special function module) is halfway to removing, removed or mounted during operation.","read the error common information with the peripheral device, and check and/or change the module that corresponds to the numerical value (module number) there.",Mitsubishi,Logic Controller
894,sp unit layer error,slot mounted with the qi60 is set to other than the intelligent (intelligent function module) in the parameter i/o assignment.,make setting again to match the parameter i/o assignment with the actual loading status.,Mitsubishi,Logic Controller
895,sp unit layer error,"in the parameter i/o allocation settings, a location for an i/o module is allocated with the intelligent function module, or vice versa.",reset the parameter i/o allocation setting to conform to the actual status of the intelligent function module and the cpu module.,Mitsubishi,Logic Controller
896,sp unit layer error,"in the parameter i/o allocation settings, a location for a cpu module is allocated with a module other than the cpu or is set to vacant, or vice versa.",reset the parameter i/o allocation setting to conform to the actual status of the intelligent function module and the cpu module.,Mitsubishi,Logic Controller
897,sp unit layer error,the setting of general-purpose switch was made to the module without that switch.,reset the setting of general-purpose switch.,Mitsubishi,Logic Controller
898,sp unit layer error,"in parameter i/o allocation settings, a location for an i/o module is allocated with the special function module, or vice versa.",reset the parameter i/o allocation setting to conform to the actual status of the special function modules.,Mitsubishi,Logic Controller
899,sp unit layer error,13 or more a-series special function modules (except for the qi60 and a1si61) that can make an interrupt start to the cpu module have been mounted.,reduce the number of a series special function modules (except for the qi60 and a1si61) that can make an interrupt start to the cpu module to 12 or less.,Mitsubishi,Logic Controller
900,sp unit layer error,13 or more special function modules (except for the a(1s)i61) capable that can make an interrupt start to the cpu module have been mounted.,reduce the number of special function modules (except for the qi60 and a(1s)i61) that can make an interrupt start to 12 or less.,Mitsubishi,Logic Controller
901,sp unit layer error,7 or more a1sd51s have been mounted.,reduce the number of a1sd51s modules to 6 or less.,Mitsubishi,Logic Controller
902,sp unit layer error,7 or more serial communication modules (excludes a (1s) j71qc24) have been mounted.,reduce the number of serial communication modules (except for the a(1s)j71qc24) to 6 or less.,Mitsubishi,Logic Controller
903,sp unit layer error,2 or more qi60/a1si61 modules are mounted in a single cpu system.,reduce the number of qi60/a1si61 modules mounted in the single cpu system to one.,Mitsubishi,Logic Controller
